,FaqID,FaqQuestion,FaqAnswer
16,48304,how can i make my car interior less noisy  i have a 2001 civic  but on highways at high speeds it is really loud inside the car  i googled for soundproof car  but couldn t find much helpful info   how much might it cost  what kind of car place would do it  body shop  repair shop     ,go to a car stereo shop   the reason you would go there is because sound dampening is part of high end car audio systems   the last thing you want is road noise on your expensive car audio system there are items you can buy such as spray on material  adhesive pads  and non adhesive fabric type material   dynamat is the big popular provider of sound dampening materials  but there are online places like partsexpress com which will sell you cheaper no name dampening material   just look it up in their car audio section you will likely find that decreasing the noise is gonna cost you a good chunk of change and a lot of work   usually you need to  dampen   add sound deadening material  the doors and floor   you can also do the roof if that is the main source of your problem   if you are a diy er it can all be done for a few hundred dollars assuming you are comfortable with disassemblign your cars interior parts   i would let a pro do this as there is too much potential to break panels and improperly install the materials 
17,101051,how can i tell the health of my manual transmission  how can i tell the health of my manual transmission and clutch i am currently running more horsepower  400hp  than stock on a subaru wrx  i am using synthetic transmission fluid  redline   and usually drive gentle on the shifts  still  every once in a while i thrash on the car  how can i inspect or evaluate the current health of the transmission and clutch ,the best way to check the condition of the manual transmission is take out the drain plug  be sure to catch the fluid in a clean container since you are using synthetics  the drain plug should be magnetic on the tip  if it is not  you should replace it with one that is it serves two purposes  1  to easily see if there is excess metal in the transmission and 2  there will all ways be some bits of metal thrown off by the gears and the magnet captures it and keeps it at the bottom of the sump so it does not act as an abrassiveto cause damage to the bearings and bushings the clutch is a wear item and with 400 hp you will know when the clutch is wearing thin   it will start to slip  probably in 3rd or 4th gears to begin with that much hp and you will notice  feel  of the clutch pedal gets very narrow on engagement 
18,43846,how do i know if my wood burning fire place chimney chute is open or closed  i just bought a place with a wood burning fire place  problem is  i can t tell if the thing is open or closed  how do i know ,take a piece of newspaper and roll twist it onto itself to shape it into a skinny breadstick   open the door to your woodburner and ignite one end of the newspaper leaving the door to the woodburner open   if the smoke goes out and does not come back into the living area then your flue chute is open 
19,123116,how can i test carbon monoxide levels in my house  ,there are many home carbon monoxide detectors that have digital displays showing the ppm of carbon monoxide  here s just one of many 
20,60547,how to know when to change tires  ,the most common reason to replace tires is insufficient tread depth  the grooves in the tire channel water away to prevent hydroplaning  which results in a loss of traction  when a tire has less than 3 32  tread depth  it s ability to channel the water is diminished and it s time to replace it  a rule of thumb is to stick a penny in the tread with the top of lincoln s head parallel to the surface of the tire  if any part of his head is exposed  the tire should be replaced  most tires also have tread wear indicators that show as bars across the tire when there s insuffucuent tread anytime a tire has small cracks in the sidewall  or is mis shapen in any way  it should be replaced 
21,67600,how do i overhaul a gasoline engine  my engine emits white smoke,start with the simple replace spark plugschange oilreplace oil filterwhite smoke is often burning oil if an oil change and spark plug change doesn t fix your problem try a thicker oil  try 20 50 instead of 10 40  if your car creates tons of white smoke you might want to think about check compression in the head with a compression gauge if compression is too low  need to check specs on your engine  then 1  have valves ground  you could do this yourself  but paying a pro makes sense  2  replace the rings on the pistons 3  have head ground if this doesn t fix your problem  you need a major overhaul 
22,103285,how do i get an extreme home makeover from abc  ,go to the extreme makeover  home edition page listed below and apply you ve got competition  so you ll have to have a compelling story   it helps if you ve adopted handicapped kids or if you ve given your life savings to the poor or something   nobody is interested in watching some self centered jerk getting his home remodeled 
23,52895,how to prime a self priming water pump  our electricity went out due to bad weather and our water pump is now not working   does anyone know how to make it work again   it is an a  o  smith corporation water pump   thanks so much ,a self priming pump does not need priming all you need is ensure that the casing is filled with water at all time it s like you are having air lock or empty pump casing what to do go to the pump outlet you will see a screw  open it and fill the casing with water lock it and run the pump if it fails to work you know that you are having problem with the impellar 
24,18399,how do you get stucco level on a wall   ,the best way to make stucco look smooth  level  is to spray it with something called a  hopper gun  which can be purchased usually in the paint dept  of any national hardware store such as home depot  even with a hopper gun it is difficult    and if you have no experience i suggest practicing until you can get the look you desire  the instructions that come with the gun will help you get started but there is nothing like experience  there is infomation on the container of most stucco products that tell you how much water you can add to the material   water makes the product spray easier but slows drying time  while it is possible to spread stucco and get a smooth surface   this would take far more practice  if you want to check out the product i just put on the front of my own home  tuff 2  here s the url http   www styro net foundationandicfcoatings html htmli don t sell  own  or have any interest in this company but i can tell you from my experience they are extremely customer friendly  and they have short videos of the application of stucco you can watch  if you have access to high speed internet  hope this helps     jeff
25,6073,how can i get the sewer layout of my house  i am having sewer problem with my line,if the house was built in the last 20 years or so  the town building department should have  as built  measurements and maybe a sketch if its older and there are no records  then you can a  call a septic repair service  as they know the tricks of the trade orb  get a 6  long piece of 1 2  steel reinforcing rod and pound it into the ground with a 5lb  hammer at locations where you think the tank s  may be  once you find the tank cover  you may be able to look inside and see if the tank is stopped up  or see what direction the lines go to most septic pumping contractors will find the tank s  at no charge if you are paying them to pump it out  which you will probably need to do 
26,122555,how to start to shingle a hip roof  ,you for got to throw down some edging first   before any starter strip   plus you need weather watch at least one row of it  then you forgot to paper the roof   you cant shingle with out paper idiot   i got a dang manual right here if you want me to read it to you if you really need help ask me  
27,98555,how do you repair a seam leak in a plastic gas tank  ,you can pick up a plastic tank repair kit at a parts store  i think permatex makes one 
28,95431,how do you fix leaky drippy faucet  ,change the washer remove the top  usually just screws off   making sure you turn off the water supply first  remove the old washer   replace with a new one  screw back on the top  sorted  o 
29,30883,how to box in a steel beam for dry wall  ,you will either have to make a wooden box to enclosed the beam or frame the beam in using 2x2s
30,66134,how can i make my car go faster car will only do 65mph when the engine warms up  what should i do to make my car go faster  than 65mph when the motor gets warmed up  the rpm s will go  no higher than 2500rpm when you push the gas pedal down the car wont go faster and doesnt have pickup speed  to go faster when going uphill  the car loses a lot of power ,you need to test your fuel pressure weak fuel pump or clogged fuel filter will cut down horsepower you need to test the air flow sensor throttle position sensor make sure the exhaust system is not plugged make sure the ignition timing is correct 
31,31271,how do you change car oil  ,first read your manual and find out how much and what kind of oil your car needs   this is very important on newer cars whose tolerance is so small then go to the autoparts store and ask for a filter for your car and get the oil you need   you should also have an oil filter wrench   i reccomebd the ring kind not the kind tha fits over the top ore the visegrip kind you might also want to get something conviniant to catch the oil in and tote it around   you will need to take it back to a place that collects old oil then get on your back and find the drain plug   wait till you car is cool though   undo the plug and let the oil drain into the pan you got   next you need to find your oil filter   you have a new one so you should be able to look for something the same shape   it may be a different color though turn the old filter counter clock wise   be ready though oil will come out a small amount anyway turn it over on your drain pan and let the rest run out of the filter put a small amount of oil on your finger and rub the gasket on the new filter   put it where the old one was and hand tighten only   if it is easy to do without spilling oil you you should also prime the filter by pouring some oil into it replace the filter and the drain plug   fill you car oil fill  under the hood  to the recommended amount   replace the cap   i have forgotten to do that a couple of times   boy did my wife get mad when her car was smoking mkae sure to take your oil and filter to a place which collects them   usually most chain autoparts stores will m
32,97712,how do you fix a car headlamp  ,sometimes a bad ground connection will cause even a good headlamp to be dim  i ve had to run new ground wires to headlights when the break was inside the insulation  making it impossible to find  other problems include a blown fuse  faulty wiring  faulty dimmer switch 
33,67581,how do you remove swirl marks from black paint  ,use a very light grade cutting wax  apply it by hand  not with a buffer  apply just as you would a regular carnuba wax  after you have removed it  then wax with a product high in carnuba and low in solvent  works every time 
34,15482,how can i deactivate auto headlights on a 99 chevy blazer  ,ok i posted a link below for you to follow  very good source there  now the drl or daytime running lamps are something completely different  they are on all the time until you switch on the headlights  now the auto headlights have a little black sensor on top of the dash by your defroster vents that turn on your headlights when it senses that the light outside is getting dim  they flip on going under bridges and everything else and get a little annoying  did i follow you right on that one  now if you want to kill the daytime running lamps do what is suggest above  open the hood and look for the big underhood fuse box and on the lid of that box there will be a diagram on there of what all the fuses and relays are for  pull the black or gray relay that goes to the drl s and you are done  there is absolutely nothing bad about pulling them  they are not for the people who cannot see and not for the handicapped  people who cannot see a car are obviously not going to see lights during the daytime anyway  their was a research project done back in 95 or 96 saying they did help visibility and reduce crashes but their were several more projects done that proved that wrong and some even said they were distracting  look now  most vehicles do not have them  some run just front park lamps and a few have drls but the majority of the companies killed the drls  what is suggested below works but it also drags the rear brakes some and keeps either your drums or discs pretty hot  i used one of those infared thermometers and found mine were in fact dragging with one click enough to heat up the rear brakes substantially 
35,53859,how do you troubleshoot a home air conditioning unit  please give me the basic  i am an electrical technician and my new job requires that i become proficient in a c troubleshooting i am interested in learning whatever anyone can tell me  later  the company will send me to a school  but for now  i am sort of live without a net thank you,working on ac   heat is like wiring a house  you have to complete the circuit  with ac work you basicly have three circuits low voltag  24vac  high  120 240vac or better  and then freon  since you are an electrical technician you should only check the voltage side     under no circumstances should you check the freon levels  leave that to trained professionals it is dangerous to any unqualified person 
36,14109,how do i replace my showerhead  ,most showerheads hand screw off  my showerhead is like that  however  be careful when you unscrew it  make sure you have a pipe wrench and clamp the pipe  where the showerhead connects to  tight  you don t want to turn or break the pipe that s sticking out of the wall  you can get teflon plumbers tape at home depot  make sure you put at least 1 2 layers of the tape around the threads in the pipe before installing the new showerhead  this will help against leaks  again  don t forget the pipe wrench and hold the pipe while screwing in the showerhead here is a link i found on the diy webpage http   www diynetwork com diy ba faucets fixtures article 0 2037 diy 13710 2272541 00 html
37,19261,how do i make my upstairs floor sound proof ish  where do i get acoustic fill  here in the sf bay area  on the top floor of my house i am about to install hardwood flooring  i will be replacing most of the subflooring  plywood  because of termite repair   is this a good time to help bring the sound down by filling the in between ties with some sort of acoustic fill  i might not have another chance to do as much  once the wood is in place  i want to keep the cost moderate  even if   because i am disabled   i will need to hire labor ,the people that you purchased your hardwood flooring will know about sound resistance barriers  if they don t  are you sure you are getting someone who knows what they are doing cork is usually used for sound resistance  there is no such thing as a  sound proof  wood floor  i don t know about this company  but here is one for an idea of what is available  http   www impactaunderlayments com 
38,2817,how to get battery out of a 1997 grand prix  ,remove your winsheild wash fluid container  it is located underneth 
39,54287,how do you tell if a ceiling fan is turning clockwise  seriously   when you are determining if a ceiling fan is turning clockwise  do you picture a clock with its face toward the floor or a clock with its face toward the ceiling   surprisingly  most people i ask say they picture a clock with its face up toward the ceiling   this seems completely wrong to me the question is important  well  kind of  because ceiling fan instructions say the fan should be turning clockwise in one season versus another to cool the room properly ,you would picture a clock with its face toward the floor  then if you have the fan running in its slowest mode  you can watch the fan blades and see if they turn clockwise  the same direction the hands of a clock turn  or counterclockwise  the opposite direction the hands of a clock turn  it would have to be considered  face down  because the best way to tell if something is turning in a certain direction is to look at it head on  it wouldn t be  head on  if you had to consider it as facing the ceiling 
40,5266,how do i remove the headlight switch in a 1964 1 2 ford mustang  ,there is a button on the switch itself  under the dash  push that button and pull out the knob like turning on the lights only farther 
41,22708,how do i remove dry candle wax off a glass tabletop  ,scrape off most of the wax with a knife   then  get a rag or a paper towel wet with very hot water   place it on the wax for about ten seconds  and wipe away the residue   repeat as needed 
42,14725,how do i mark a roof off to shingle my house  ive been told i need two vertical lines  ,the horizontal chalk line keeps the rows in a straight line while the vertical chalk line keeps the courses square in an upright straight line   the horizontal chalk line measurement is the width of a shingle which is 13 3 8   the rake chalk line gives roofer a guideline to follow when cutting off the excess shingle overhang  to start the horizontal chalk line  find a comfortable and safe location near the lower end of roof along the fascia board roof line and with measuring tape  mark 12 3 8  from edge of overhang up   although the shingle width is 133 8  wide  12 3 8  is used to obtain a one inch shingle overhang over facsia board and rakes   barge board   do the same to opposite end and connect the two marks with a chalk line strike  repeat the process to the rake chalk line which is up the incline roof surface on both ends   the rake chalk line has the same measurements as the horizontal chalk line  12 3 8  plus one inch for overhang  to mark the vertical chalk line use the shingle length  39 3 8   as the measurement  but mark 38 3 8  instead  allowing one inch for shingle overhang again  from edge of plywood  rakes  inward along the horizontal chalk line at the lower end and top end along the ridge   use chalk line and snap a line between the two points  but extend the chalk line pass the horizontal line all the way down to the edge of fascia line to get a complete line  before shingles are nailed in place the vertical and horizontal chalk line must be perpendicular or at right angles   90 degrees  to each other  check the lines for square by using the pythagorean theorem of 3 4 5 method   in a right angle triangle with sides of 3  4  and 5  the sum of square 3 and 4 is equaled to square of hypotenuse which is 5  eg  3x3 9       4x4 16       5x5 25 on an average roof inclined surface of 16 feet  double or tripple the 3 4 5 method for larger measurements to check roof square   6 8 10 or 9 12 15  where the two lines intersect  measure four feet up the vertical line and place a mark  labeled a  and on horizontal line measure three feet out from intersecting point and mark b   the distance between point a and b should measure five feet   if the measurement is more or less than five feet then adjustments would have to be made 
43,78033,how do you install a standard seam roof  i would like illustrations and directions on how to install a standard seam roof,bob vila has a good guide a standing seam metal roof can be fabricated on the jobsite in a few days  and last for the life of the homemetal roofing s attributes are impressive  durable and long lasting  a metal roof requires little maintenance  can be retrofitted over many existing roofing materials  is available in a wide range of colors and styles  and is fire resistant  standing seam metal roofs  popular in areas diverse as the hot and humid south and frigid new england  have shed their industrial roots to become an architectural statement a standing seam roof is constructed of many interlocking panels that run vertically from the roof s ridge  the top of the roof  to the eave  the interlocking seam where two panels join together is raised above the roof s flat surface  allowing water to run off without seeping between panels 
44,26831,how do you check the anti freeze in a car  ,just look under the hood find the tank under there that has blue liqued in it and there will be a line on it if below that line fill it 
45,128633,how do you do an oil change to a car  ,first look at the oil fill cap on the motor more than likely it will tell you what type of oil it recomends next look in the manual to see how much oil it takes   if you do not have the manual  any auto parts store can help you find out how much and what filter you need now that you have the oil and filter it is time to go to work  you will need some basic tools an ajustable wrench and a oil filter wrench also a container to drain the oil in  you can get all  at the auto part store now depending on the make you m ight have to jack one side of the car so you can get underneth and locate the oil drain bolt with container underneth take bolt out let oil drain  after it is drained put skrew back in  locate oil filter remopve with wrench now     important       when putting new filter on be sure to take a little oil on your finger and run it around the rubber ring on the filter this helps seal it and moistins the rubber put the filter on hand tight only  do not use wrench  fill car with oil and take old oil back to parts store were they are requiered by law to take it and you are done  
46,33364,how do i avoid condensation on my wooden windows in my house  they are rotting due to moisture during the winter  the relative humidity in my house is usually in between 40 and 50    and the condensation on the windows happens when the temperature is less than 35 ,your relative humidity is too high  run your exhaust fans longer to reduce the humidity or get a dehumidifier and reduce the humidity to about 30   if you have a dirt floor in the basement  seal it with plastic to keep the humidity out of the house  at some point old single pane windows will condense with water vapor and there s very little that can be done 
47,93686,how do i replace a serpentine belt that has slipped on a 98 ford escort zx2  my serpentine belt keeps slipping off   everytime it rains  the sucker slips   then i have to have it towed to a mechanic   three trips  and nearly  600  later  it has come off again   can anyone point me to directions  or diagram  on how i can fix this problem myself   also  what tool s  will i need ,hi kelly there are two parts to the answer to your question  the first part is how to do it and what tools are needed  that answer is here  http   www rldassociates com zx2 howto belt htmthe second part is why does it keep coming off  the answer to this is trickier  serpentine belts must be very carefully aligned  even an eighth of an inch out of alignment can cause the belt to slip off or fail prematurely  once the belt is installed you must be sure that the two idler pulleys and the belt pretensioner pully  see diagram at url above  are exactly in line  one way to do this  if you have a good eye is to sight down the edge of the belt from several angles to be sure that all of the edges match  if they don t you will need to adjust one or more of the pulleys  another  more accurate way is to place a straight edge  a metal yardstick would be perfect  but a piece of pipe or angle iron could be used too  against the edges of the belt to be sure that all of them are perfectly in line  if everything is lined up and the belt is properly tensioned that should take care of your problem permanently  if it doesn t  the pretensioner is probably either worn out or out of adjustment  ford uses nylon spacers in the pretensioner and they can become brittle and fail because of age and the heat in the engine compartment  good luck with this  i hope it helps  it s a job with some challenges because of how difficult it is to get at all of the twists and turns of the belt 
48,29688,how do i get the smell out of rubber car mats   i bought rubber car mats   they stink sulfur ,rubber mats  tires  inner tubes and other items made of synthetic rubber all have a strong smell when new  that comes from the solvents and chemicals used to make them   just hang the mats up somewhere where air can circulate around them for a few days  and the strong chemical smell will fade away 
49,52480,how to i remove a rear wheel that is stuck on the hub  ,slowly i mean very slowly lower the jack and as the car lowers it will put presure on the hub and wheel and break it free  do not lower all the way down or remove the jack with the lug nuts removed 
50,137912,how do you increase hot water pressure in my kitchen faucet  it runs verrrrry slow  like a trickle  ,first we need to find out if your supply piping is copper or iron  if it is iron the pipes are most likely rusty   corroded inside causing restriction of flow  you can also try changing the aerator  that little screen at the end of the spout  if flow is also slow on the cold water side  most likely it is the supply pipe as hot water will speed up the corrosion which is why you dont see any slowness on the cold side  if iron pipe the only solution would be to repipe the entire house  i highly recommend using a union contractor as they have the best trained and most efficient workforce 
51,32452,how to replace triangle door window on a f150 truck  ,you have to take off the inside door panel  there are maybe 3 or 4 bolts as far down as the bottom  that triangle is part of the window track  should come out through the window
52,20818,how does the gas pump know when your tank is full  ,according to the website below when your gas gauge reads empty  your tank is filled with air instead of fuel   as you add fuel  the air must move out of the tank to make way for the gas   next time you fill your car at the gas station  take a look at the pump nozzle   you will find a hole about a half inch from the end of the nozzle   this hole is connected to a small pipe that travels through the nozzle to the handle when you fill your gas tank  some of the displaced air flows through the hole in the nozzle into the pipe   when the tank is full  the hole will be below the gasoline level and no air will pass through the pipe   a mechanical switch inside the nozzle detects when the flow of air stops and shuts off the gas you may have noticed that  after the pump shuts off  you can get more gas in your tank by pulling the nozzle out of the tank a bit   this is because you re moving the position of the hole relative to the gas level and allowing the mechanical switch to reopen 
53,41549,how do you get rid of pine glue on a car  ,gumout bug and tar remover should do the trick   you can find it in most discount stores in the automotive dept  or auto zone  napa  etc   good luck 
54,888,how do you mathematically square up a foundation for a home  ,if you want to check for square in an existing home  and you have a straight shot in your basement  you can measure from corner to corner in each direction  north west to south east then north east to south west    if the measurements are the same then your foundation is square  if not then i m not sure if there s anything you can do to bring it back into square 
55,114339,how do you get ink off of a leather couch  ,isopropyl alcohol  available in most pharmacies  is the product ofchoice for removing ink from leather alcohol  you may read recommendations to use hair spray for ink removal  itcontains alcohol  which is the ingredient that removes the ink  theother chemicals in hair spray could damage a fabric  take cautionshould you decide to use hair spray on a stain   rubbing alcohol removes ink on all fabrics including leather  allowit to set 15 minutes  
56,83010,how do i remove the cap from my kitchen faucet to change the gaskets  it s stuck  ,depending on the cause of the seize you have 2 options  first off if the threads are cross threaded from improper installationyou will have to replace the faucet   hopefully the cause of the seize is build up of rust  lime or calcium   if this is the case try first soaking the end of the faucet with lemon juice in a cup for 30 min  to an hour  this should help break down the deposits  then take duct tape and wrap the jaws of a pair of pliers several times and try twisting off 
57,42965,how do i find an honest contractor to do some work on my bathroom  at home  bathroom work plus more storage room inside ,there is no way to be 100  sure to know if you are going to hire an  honest  contractor  there are things to protect yourself though   get references check with the bbb to check on any negative reports check to see if the property is owned by the contractor where they reside  and if they own their home  be sure they are not a traveling road show  when the person whom shows up to measure  estimate  or to sign the contract and collect the 1 2 down works for the company and that they have been there for a while  many theifs work for reputable companies or get their information from an insider within the company  everybody loses except the theif  make sure you have a signed contract with everything that they are going to do and everything you are willing to do     including how payments are made  most contractors ask for 1 2 down before any work  this is where a theif makes most of their money     having a contract with a company that fits with the above pointers protects you  don t accept proposals like  remodel bathroom    8 000 00  1 2 down  remainder upon draw system get details     in writting  don t accept verbal  ya  i ll do that  you will get a bill for  20 000 at the end of the job that was supposed to be  8 000 and once you read the small print  you will find you will owe every penny   and they will get it  where do you look  service magic does not recommend companies that they don t have insurance and licences from  this is a good place to start  and it is free to the consumer  http   servicemagic com  yahoo does have a similar  find a company  type of service  although there are no  checks  that yahoo does to make sure these are  real  companies  have fun  i have been servicing the building industry since 1980  and although remodeling and building a home for yourself is one of the most stressful parts of life  the people that allow the fun to be in the project usually enjoy the finished product for many many years     many of my customers that don t have fun doing the remodel end up with personal problems that you don t want  such as divorce  illness  heart attacks  miscarrages  and loss of jobs because of time spent on the project  i have seen all of the above problems with my customers  it s much better for the customer to have fun 
58,85127,how to put a drive belt on a 93 corsica  im trying to figure out how to put this drive belt on a 93 chevy corsica the motor sits side ways can anyone help me,there should be a picture somewhere under the hood that shows how to route the belt  you will need either a 13mm or 15mm wrench to put on the tensioner pulley and twist it in on its spring just dont get your fingers between the belt and pulley 
59,95452,how do i get sliding glass doors to slide better  these are heavy anderson doors that roll on the bottom  they do not hang from the top   and they do not have an adjustment screw on the bottom as i ve seen on some doors ,anderson doors adjust on each end of the door there should be a cap about 3 inches up pop this of and stick a long   2 phil head srewdriver into the hole you may have to turn it a few times to make it seat in the screw turn to the right to raise the door i hope i picked the right anderson door that you have good luck 
60,64384,how to repair a door lock that does not line up with the hole in the frame  the door will close  but the part of the lock that goes into the hole of the frame is lower than the hole in the frame ,if the problem is the bolt does not line up properly with the stike you can adjust the stike plate  this is sometimes caused by normal settling of the structure  there are several things you can check if this is an existing lock  first check and see if all your hinges are screwed in tight  if the hinge screws have loosened over a period of time this will cause the door to sag slightly and cause a misalignment  second make sure the screws is the lockset are properly tightened  in the case of typical entry knobs and dead bolts it is best to tighten the latch bolts first and than the screws through the lockset if every thing else seems up to snuff you can place a small amount of paint on the bolt while the bolt is retracted  close the door and work the knob or the lockset a couple of times  this will leave a mark on the door jamb or strike plate where the lock bolt is hitting  you will than be able to determine where the strike plate may need be adjusted or the hole enlarged 
61,9092,how do you remove a sticker from auto paint  ,both of the previous are correct about applying heat to loosen the adhesive  but i personally prefer the use of denatured alcohol to remove any remaining adhesive  it definitely will not cause color change  it can be obtained in any hardware store or hardware sections at some department stores  this is also a good product to use in removal of stains from fabrics such as carpeting as well 
62,81774,how to remove a freeze plug from a ford inline six  ,drain the coolant out  drill a hole in the center of the freeze plug  and then thread a screw into the hole and attach it to a slide hammer and pop it out   if you don t have a slide hammer  you can use a seal remover and insert that into the hole and pry it out   dont forget to put sealer on the outside edges of the new freeze plug when you install the new one 
