,FaqID,FaqQuestion,FaqAnswer
14,94346,how do you stop a squeaky garage door? Have an automatic garage door that really squeaks.  Does not seem related to the opener itself but to the rollers on the sides.  I've tried lubricating them to no avail.,"Quote: ""Squeaky doors can be a real nuisance. Fortunately, there are several very easy fixes for this common problem. Here are some tips...Try spraying a little WD-40 (TM ) oil directly into the door hinges, with the door still attached. Operate the door to check and see if that eliminated the squeak...If the door still squeaks, apply a little powdered lubricant (e.g., powdered graphite) inside the hinge (/ squeaky part)...If you don't have any powdered lubricant, you could try using some household materials that you may have handy. Try rubbing petroleum jelly or candle wax on the hinge...repeat these steps on the other hinge(s) if necessary. ""If that doesn't work, check for rust or other gunk on the rails and wheels that may be causing extra squeaking at certain door positions."
15,105935,how to bleed hydralic clutch 93 ford F-150? ,You will need help.
16,48304,"How can I make my car interior less noisy? I have a 2001 civic, but on highways at high speeds it is really loud inside the car. I googled for soundproof car, but couldn't find much helpful info - how much might it cost? what kind of car place would do it (body shop, repair shop, ?)?","Go to a Car stereo shop.  The reason you would go there is because sound dampening is part of high end car audio systems.  The last thing you want is road noise on your expensive car audio system.There are items you can buy such as spray on material, adhesive pads, and non-adhesive fabric type material.  Dynamat is the big popular provider of sound dampening materials, but there are online places like partsexpress.com which will sell you cheaper no-name dampening material.  Just look it up in their car-audio section.You will likely find that decreasing the noise is gonna cost you a good chunk of change and a lot of work.  Usually you need to 'dampen' (add sound deadening material) the doors and floor.  You can also do the roof if that is the main source of your problem.  If you are a DIY'er it can all be done for a few hundred dollars assuming you are comfortable with disassemblign your cars interior parts.  I would let a pro do this as there is too much potential to break panels and improperly install the materials."
17,101051,"How can I tell the health of my manual transmission? How can I tell the health of my manual transmission and clutch?I am currently running more horsepower (400hp) than stock on a Subaru WRX. I am using synthetic transmission fluid (Redline), and usually drive gentle on the shifts. Still, every once in a while I thrash on the car. How can I inspect or evaluate the current health of the transmission and clutch?","The best way to check the condition of the manual transmission is take out the drain plug. Be sure to catch the fluid in a clean container since you are using synthetics. The drain plug should be magnetic on the tip. If it is not, you should replace it with one that is.It serves two purposes, 1) to easily see if there is excess metal in the transmission and 2) there will all ways be some bits of metal thrown off by the gears and the magnet captures it and keeps it at the bottom of the sump so it does not act as an abrassiveto cause damage to the bearings and bushings.The clutch is a wear item and with 400 Hp you will know when the clutch is wearing thin...it will start to slip..probably in 3rd or 4th gears to begin with that much Hp and you will notice ""feel"" of the clutch pedal gets very narrow on engagement."
18,43846,"how do i know if my wood burning fire place/chimney chute is open or closed? I just bought a place with a wood burning fire place. Problem is, I can't tell if the thing is open or closed. How do I know?",Take a piece of newspaper and roll/twist it onto itself to shape it into a skinny breadstick.  Open the door to your woodburner and ignite one end of the newspaper leaving the door to the woodburner open.  If the smoke goes out and does not come back into the living area then your flue/chute is open.
19,123116,how can i test carbon monoxide levels in my house? ,There are many home carbon monoxide detectors that have digital displays showing the ppm of carbon monoxide. Here's just one of many:
20,60547,how to know when to change tires? ,"The most common reason to replace tires is insufficient tread depth. The grooves in the tire channel water away to prevent hydroplaning, which results in a loss of traction. When a tire has less than 3/32"" tread depth, it's ability to channel the water is diminished and it's time to replace it. A rule of thumb is to stick a penny in the tread with the top of Lincoln's head parallel to the surface of the tire. If any part of his head is exposed, the tire should be replaced. Most tires also have tread wear indicators that show as bars across the tire when there's insuffucuent tread.Anytime a tire has small cracks in the sidewall, or is mis-shapen in any way, it should be replaced."
21,67600,how do i overhaul a gasoline engine? my engine emits white smoke,"Start with the simple:Replace spark plugsChange OilReplace Oil FilterWhite smoke is often burning oil.If an oil change and spark plug change doesn't fix your problem try a thicker oil (try 20/50 instead of 10/40).If your car creates tons of white smoke you might want to think about:Check compression in the head with a compression gauge.If compression is too low (need to check specs on your engine) then:1) Have valves ground (you could do this yourself, but paying a pro makes sense).2) Replace the rings on the pistons.3) Have head ground.If this doesn't fix your problem, you need a major overhaul."
22,103285,How do I get an extreme home makeover from ABC? ,"Go to the Extreme Makeover: Home Edition page listed below and apply.You've got competition, so you'll have to have a compelling story.  It helps if you've adopted handicapped kids or if you've given your life savings to the poor or something.  Nobody is interested in watching some self-centered jerk getting his home remodeled."
23,52895,how to prime a self-priming water pump? our electricity went out due to bad weather and our water pump is now not working.  Does anyone know how to make it work again?  It is an A. O. Smith Corporation water pump.  Thanks so much.,"A self priming pump does not need priming,all you need is ensure that the casing is filled with water at all time.It,s like you are having air lock or empty pump casing.What to do,go to the pump outlet you will see a screw, open it and fill the casing with water lock it and run the pump.If it fails to work you know that you are having problem with the impellar."
24,18399,how do you get stucco level on a wall?? ,"The best way to make stucco look smooth (level?)is to spray it with something called a ""hopper gun"" which can be purchased usually in the paint dept. of any national hardware store such as Home Depot. Even with a hopper gun it is difficult... and if you have no experience I suggest practicing until you can get the look you desire. The instructions that come with the gun will help you get started but there is nothing like experience. There is infomation on the container of most stucco products that tell you how much water you can add to the material - water makes the product spray easier but slows drying time. While it is possible to spread stucco and get a smooth surface - this would take far more practice. If you want to check out the product I just put on the front of my own home (Tuff 2) here's the URL:http://www.styro.net/FoundationandICFCoatings.html.htmlI don't sell, own, or have any interest in this company but I can tell you from my experience they are extremely customer friendly--AND they have short videos of the application of stucco you can watch (if you have access to high speed internet) Hope this helps.....Jeff"
25,6073,how can i get the sewer layout of my house? i am having sewer problem with my line,"If the house was built in the last 20 years or so, the town building department should have ""as built"" measurements and maybe a sketch.If its older and there are no records, then you can:A) call a septic repair service, as they know the tricks of the trade.ORB) get a 6' long piece of 1/2"" steel reinforcing rod and pound it into the ground with a 5lb. hammer at locations where you think the tank(s) may be. Once you find the tank cover, you may be able to look inside and see if the tank is stopped up, or see what direction the lines go to.Most septic pumping contractors will find the tank(s) at no charge if you are paying them to pump it out, which you will probably need to do."
26,122555,how to start to shingle a hip roof? ,You for got to throw down some edging first!! Before any starter strip!!!Plus you need Weather Watch at least One row of it!!Then you forgot to paper the ROOF!! You cant shingle with out paper idiot!! I got a dang manual right here if you want me to read it to you!If you really need help ask me!!
27,98555,how do you repair a seam leak in a plastic gas tank? ,you can pick up a plastic tank repair kit at a parts store. i think permatex makes one.
28,95431,how do you fix leaky/drippy faucet? ,"Change the washer.Remove the top (usually just screws off), making sure you turn off the water supply first. Remove the old washer & replace with a new one. Screw back on the top, sorted :o)"
29,30883,How to box in a steel beam for dry wall? ,you will either have to make a wooden box to enclosed the beam or frame the beam in using 2x2s
30,66134,"HOW CAN I MAKE MY CAR GO FASTER,CAR WILL ONLY DO 65MPH,WHEN THE ENGINE WARMS UP? WHAT SHOULD I DO TO MAKE MY CAR GO FASTER ,THAN 65MPH?WHEN THE MOTOR GETS WARMED UP, THE RPM'S WILL GO, NO HIGHER THAN 2500RPM.WHEN YOU PUSH THE GAS PEDAL DOWN THE CAR WONT GO FASTER,AND DOESNT HAVE PICKUP SPEED, TO GO FASTER.WHEN GOING UPHILL, THE CAR LOSES A LOT OF POWER.","you need to test your fuel pressure.weak fuel pump or clogged fuel filter will cut down horsepower.you need to test the air flow sensor,throttle position sensor.make sure the exhaust system is not plugged.make sure the ignition timing is correct."
31,31271,how do you change car oil? ,First read your manual and find out how much and what kind of oil your car needs.  This is very important on newer cars whose tolerance is so small.Then go to the autoparts store and ask for a filter for your car and get the oil you need.  You should also have an oil filter wrench.  I reccomebd the ring kind not the kind tha fits over the top ore the visegrip kind.You might also want to get something conviniant to catch the oil in and tote it around.  You will need to take it back to a place that collects old oil.Then get on your back and find the drain plug.  Wait till you car is cool though.  Undo the plug and let the oil drain into the pan you got.  Next you need to find your oil filter.  You have a new one so you should be able to look for something the same shape.  it may be a different color though.Turn the old filter counter clock wise.  be ready though oil will come out a small amount anyway.Turn it over on your drain pan and let the rest run out of the filter.Put a small amount of oil on your finger and rub the gasket on the new filter.  Put it where the old one was and hand tighten only.  If it is easy to do without spilling oil you you should also prime the filter by pouring some oil into it.Replace the filter and the drain plug.  Fill you car oil fill (under the hood) to the recommended amount.  Replace the cap.  I have forgotten to do that a couple of times.  Boy did my wife get mad when her car was smoking.Mkae sure to take your oil and filter to a place which collects them.  Usually most chain autoparts stores will.M
32,97712,how do you fix a car headlamp? ,"Sometimes a bad ground connection will cause even a good headlamp to be dim. I've had to run new ground wires to headlights when the break was inside the insulation, making it impossible to find. Other problems include a blown fuse, faulty wiring, faulty dimmer switch."
33,67581,how do you remove swirl marks from black paint? ,"Use a very light grade cutting wax. Apply it by HAND, not with a buffer. Apply just as you would a regular carnuba wax. After you have removed it, then wax with a product high in carnuba and low in solvent. Works every time!"
34,15482,how can i deactivate auto headlights on a 99 chevy blazer? ,"Ok I posted a link below for you to follow, very good source there. Now the DRL or daytime running lamps are something completely different, they are on all the time until you switch on the headlights. Now the auto headlights have a little black sensor on top of the dash by your defroster vents that turn on your headlights when it senses that the light outside is getting dim. They flip on going under bridges and everything else and get a little annoying. Did I follow you right on that one? Now if you want to kill the daytime running lamps do what is suggest above, open the hood and look for the big underhood fuse box and on the lid of that box there will be a diagram on there of what all the fuses and relays are for. Pull the black or gray relay that goes to the drl's and you are done. There is absolutely nothing bad about pulling them. They are NOT for the people who cannot see and not for the handicapped, people who cannot see a car are obviously not going to see lights during the daytime anyway. Their was a research project done back in 95 or 96 saying they did help visibility and reduce crashes but their were several more projects done that proved that wrong and some even said they were distracting. Look now, most vehicles do not have them, some run just front park lamps and a few have drls but the majority of the companies killed the drls, what is suggested below works but it also drags the rear brakes some and keeps either your drums or discs pretty hot. I used one of those infared thermometers and found mine were in fact dragging with one click enough to heat up the rear brakes substantially."
35,53859,"How do you troubleshoot a home air conditioning unit? Please give me the basic. I am an electrical technician and my new job requires that I become proficient in a/c troubleshooting.I am interested in learning whatever anyone can tell me. Later, the company will send me to a school, but for now, I am sort of live without a net.Thank you","Working on AC & Heat is like wiring a house, you have to complete the circuit. With AC work you basicly have three circuits low voltag (24vac) High (120/240vac or better) and then freon. Since you are an electrical technician you should only check the voltage side./// UNDER NO CIRCUMSTANCES SHOULD YOU CHECK THE FREON LEVELS, LEAVE THAT TO TRAINED PROFESSIONALS IT IS DANGEROUS TO ANY UNQUALIFIED PERSON."
36,14109,How do I replace my showerhead? ,"Most showerheads hand-screw off. My showerhead is like that. However, be careful when you unscrew it. Make sure you have a pipe wrench and clamp the pipe (where the showerhead connects to) tight. You don't want to turn or break the pipe that's sticking out of the wall. You can get teflon/plumbers tape at Home Depot. Make sure you put at least 1-2 layers of the tape around the threads in the pipe before installing the new showerhead. This will help against leaks. Again, don't forget the pipe wrench and hold the pipe while screwing in the showerhead.Here is a link I found on the DIY webpage:http://www.diynetwork.com/diy/ba_faucets_fixtures/article/0,2037,DIY_13710_2272541,00.html"
37,19261,"how do I make my upstairs floor sound proof-ish. Where do I get acoustic fill? here in the SF bay area? On the top floor of my house I am about to install hardwood flooring; I will be replacing most of the subflooring (plywood) because of termite repair . Is this a good time to help bring the sound down by filling the in-between-ties with some sort of acoustic fill? I might not have another chance to do as much, once the wood is in place. I want to keep the cost moderate, even if - because I am disabled - I will need to hire labor.","The people that you purchased your hardwood flooring will know about sound resistance barriers. If they don't, are you sure you are getting someone who knows what they are doing?Cork is usually used for sound resistance. There is no such thing as a ""sound-proof"" wood floor. I don't know about this company, but here is one for an idea of what is available: http://www.impactaunderlayments.com/"
38,2817,How to get battery out of a 1997 Grand Prix? ,remove your winsheild wash fluid container. it is located underneth.
39,54287,"How do you tell if a ceiling fan is turning clockwise? Seriously.  When you are determining if a ceiling fan is turning clockwise, do you picture a clock with its face toward the floor or a clock with its face toward the ceiling?  Surprisingly, most people I ask say they picture a clock with its face up toward the ceiling.  This seems completely wrong to me.The question is important (well, kind of) because ceiling fan instructions say the fan should be turning clockwise in one season versus another to cool the room properly.","You would picture a clock with its face toward the floor. Then if you have the fan running in its slowest mode, you can watch the fan blades and see if they turn clockwise (the same direction the hands of a clock turn) or counterclockwise (the opposite direction the hands of a clock turn).It would have to be considered 'face-down' because the best way to tell if something is turning in a certain direction is to look at it head-on. It wouldn't be 'head-on' if you had to consider it as facing the ceiling."
40,5266,how do i remove the headlight switch in a 1964 1/2 ford mustang? ,"There is a button on the switch itself, under the dash. Push that button and pull out the Knob like turning on the lights only farther."
41,22708,How do i remove dry candle wax off a glass tabletop? ,"Scrape off most of the wax with a knife.  Then, get a rag or a paper towel wet with very hot water.  Place it on the wax for about ten seconds, and wipe away the residue.  Repeat as needed."
42,14725,how do i mark a roof off to shingle my house? ive been told i need two vertical lines? ,"The horizontal chalk line keeps the rows in a straight line while the vertical chalk line keeps the courses square in an upright straight line.  The horizontal chalk line measurement is the width of a shingle which is 13 3/8"". The rake chalk line gives roofer a guideline to follow when cutting off the excess shingle overhang. To start the horizontal chalk line, find a comfortable and safe location near the lower end of roof along the fascia board roof line and with measuring tape, mark 12 3/8"" from edge of overhang up.  Although the shingle width is 133/8"" wide, 12 3/8"" is used to obtain a one-inch shingle overhang over facsia board and rakes. (barge board)  Do the same to opposite end and connect the two marks with a chalk line strike. Repeat the process to the rake chalk line which is up the incline roof surface on both ends.  The rake chalk line has the same measurements as the horizontal chalk line (12 3/8"" plus one inch for overhang) To mark the vertical chalk line use the shingle length (39 3/8"") as the measurement, but mark 38 3/8"" instead (allowing one inch for shingle overhang again) from edge of plywood (rakes) inward along the horizontal chalk line at the lower end and top end along the ridge.  Use chalk line and snap a line between the two points, but extend the chalk line pass the horizontal line all the way down to the edge of fascia line to get a complete line. Before shingles are nailed in place the vertical and horizontal chalk line must be perpendicular or at right angles ( 90 degrees) to each other. Check the lines for square by using the Pythagorean theorem of 3:4:5 method.  In a right angle triangle with sides of 3, 4, and 5, the sum of square 3 and 4 is equaled to square of hypotenuse which is 5. eg: 3x3=9       4x4=16       5x5=25 On an average roof inclined surface of 16 feet, double or tripple the 3:4:5 method for larger measurements to check roof square - 6:8:10 or 9:12:15. Where the two lines intersect, measure four feet up the vertical line and place a mark (labeled A) and on horizontal line measure three feet out from intersecting point and mark B.  The distance between point A and B should measure five feet.  If the measurement is more or less than five feet then adjustments would have to be made."
43,78033,how do you install a standard seam roof? I would like illustrations and directions on how to install a standard seam roof,"Bob Vila has a good guide:A standing seam metal roof can be fabricated on the jobsite in a few days--and last for the life of the homeMetal roofing's attributes are impressive. Durable and long lasting, a metal roof requires little maintenance, can be retrofitted over many existing roofing materials, is available in a wide range of colors and styles, and is fire resistant. Standing seam metal roofs, popular in areas diverse as the hot and humid South and frigid New England, have shed their industrial roots to become an architectural statement.A standing seam roof is constructed of many interlocking panels that run vertically from the roof's ridge (the top of the roof) to the eave. The interlocking seam where two panels join together is raised above the roof's flat surface, allowing water to run off without seeping between panels."
44,26831,How do you check the anti-freeze in a car? ,just look under the hood find the tank under there that has blue liqued in it and there will be a line on it if below that line fill it.
45,128633,How do you do an oil change to a car? ,"first look at the oil fill cap on the motor more than likely it will tell you what type of oil it recomends next look in the manual to see how much oil it takes , if you do not have the manual  any auto parts store can help you find out how much and what filter you need.now that you have the oil and filter it is time to go to work. you will need some basic tools an ajustable wrench and a oil filter wrench also a container to drain the oil in, you can get all  at the auto part store now depending on the make you m,ight have to jack one side of the car so you can get underneth and locate the oil drain bolt with container underneth take bolt out let oil drain. after it is drained put skrew back in  locate oil filter remopve with wrench now ****important ***** when putting new filter on be sure to take a little oil on your finger and run it around the rubber ring on the filter this helps seal it and moistins the rubber put the filter on hand tight only (do not use wrench) fill car with oil and take old oil back to parts store were they are requiered by law to take it and you are done!!"
46,33364,"How do I avoid condensation on my wooden windows in my house? They are rotting due to moisture during the winter. The relative humidity in my house is usually in between 40 and 50 %, and the condensation on the windows happens when the temperature is less than 35.","Your relative humidity is too high. Run your exhaust fans longer to reduce the humidity or get a dehumidifier and reduce the humidity to about 30%. If you have a dirt floor in the basement, seal it with plastic to keep the humidity out of the house. At some point old single pane windows will condense with water vapor and there's very little that can be done."
47,93686,"How do I replace a serpentine belt that has slipped on a 98 Ford Escort Zx2? My serpentine belt keeps slipping off.  Everytime it rains, the sucker slips.  Then I have to have it towed to a mechanic.  Three trips (and nearly $600) later, it has come off AGAIN!  Can anyone point me to directions (or diagram) on how I can fix this problem myself?  Also, what tool(s) will I need?","Hi Kelly there are two parts to the answer to your question. The first part is how to do it and what tools are needed. That answer is here. http://www.rldassociates.com/zx2/howto/belt.htmThe second part is why does it keep coming off. The answer to this is trickier. Serpentine belts must be very carefully aligned. Even an eighth of an inch out of alignment can cause the belt to slip off or fail prematurely. Once the belt is installed you must be sure that the two idler pulleys and the belt pretensioner pully (see diagram at URL above) are exactly in line. One way to do this, if you have a good eye is to sight down the edge of the belt from several angles to be sure that all of the edges match. If they don't you will need to adjust one or more of the pulleys. Another, more accurate way is to place a straight edge (a metal yardstick would be perfect, but a piece of pipe or angle iron could be used too, against the edges of the belt to be sure that all of them are perfectly in line. If everything is lined up and the belt is properly tensioned that should take care of your problem permanently. If it doesn't, the pretensioner is probably either worn out or out of adjustment. Ford uses nylon spacers in the pretensioner and they can become brittle and fail because of age and the heat in the engine compartment. Good luck with this. I hope it helps. It's a job with some challenges because of how difficult it is to get at all of the twists and turns of the belt."
48,29688,How do I get the smell out of rubber car mats.? I bought rubber car mats.  They stink-sulfur?,"Rubber mats, tires, inner tubes and other items made of synthetic rubber all have a strong smell when new, that comes from the solvents and chemicals used to make them.  Just hang the mats up somewhere where air can circulate around them for a few days, and the strong chemical smell will fade away."
49,52480,how to i remove a rear wheel that is stuck on the hub? ,Slowly i mean very slowly lower the jack and as the car lowers it will put presure on the hub and wheel and break it free. DO NOT LOWER ALL THE WAY DOWN OR REMOVE THE JACK WITH THE LUG NUTS REMOVED.
50,137912,"How do you increase hot water pressure in my kitchen faucet, it runs verrrrry slow, like a trickle? ",First we need to find out if your supply piping is copper or iron. If it is iron the pipes are most likely rusty & corroded inside causing restriction of flow. You can also try changing the aerator (that little screen at the end of the spout) if flow is also slow on the cold water side. Most likely it is the supply pipe as hot water will speed up the corrosion which is why you dont see any slowness on the cold side. If iron pipe the only solution would be to repipe the entire house. I highly recommend using a union contractor as they have the best trained and most efficient workforce.
51,32452,how to replace triangle door window on a f150 truck? ,"You have to take off the inside door panel, There are maybe 3 or 4 bolts as far down as the bottom. That triangle is part of the window track. Should come out through the window"
52,20818,How does the gas pump know when your tank is full? ,"According to the website below:When your gas gauge reads empty, your tank is filled with air instead of fuel.  As you add fuel, the air must move out of the tank to make way for the gas.  Next time you fill your car at the gas station, take a look at the pump nozzle.  You will find a hole about a half inch from the end of the nozzle.  This hole is connected to a small pipe that travels through the nozzle to the handle.When you fill your gas tank, some of the displaced air flows through the hole in the nozzle into the pipe.  When the tank is full, the hole will be below the gasoline level and no air will pass through the pipe.  A mechanical switch inside the nozzle detects when the flow of air stops and shuts off the gas.You may have noticed that, after the pump shuts off, you can get more gas in your tank by pulling the nozzle out of the tank a bit.  This is because you’re moving the position of the hole relative to the gas level and allowing the mechanical switch to reopen."
53,41549,how do you get rid of pine glue on a car? ,"Gumout Bug and Tar Remover should do the trick.  You can find it in most discount stores in the automotive dept. or Auto Zone, Napa, etc.  Good luck."
54,888,How do you mathematically square up a foundation for a home? ,"If you want to check for square in an existing home, and you have a straight shot,in your basement, you can measure from corner to corner in each direction (north-west to south-east then north-east to south-west).  If the measurements are the same then your foundation is square, if not then I'm not sure if there's anything you can do to bring it back into square."
55,114339,how do you get ink off of a leather couch? ,"Isopropyl Alcohol (available in most pharmacies) is the product ofchoice for removing ink from leather.ALCOHOL:""You may read recommendations to use hair spray for ink removal. Itcontains alcohol, which is the ingredient that removes the ink. Theother chemicals in hair spray could damage a fabric. Take cautionshould you decide to use hair spray on a stain.""""Rubbing alcohol removes ink on all fabrics including leather. Allowit to set 15 minutes."""
56,83010,"how do I remove the cap from my kitchen faucet to change the gaskets, it's stuck? ","Depending on the cause of the seize you have 2 options. First off if the threads are cross threaded from improper installationyou will have to replace the faucet.  Hopefully the cause of the seize is build up of rust, lime or calcium.  If this is the case try first soaking the end of the faucet with lemon juice in a cup for 30 min. to an hour. This should help break down the deposits. Then take duct tape and wrap the jaws of a pair of pliers several times and try twisting off."
57,42965,"How do I find an honest contractor to do some work on my bathroom, at home? Bathroom work,plus more storage room inside.","There is no way to be 100% sure to know if you are going to hire an ""honest"" contractor. There are things to protect yourself though. >get references>check with the BBB to check on any negative reports>Check to see if the property is owned by the contractor where they reside. AND if they own their home. Be sure they are not a traveling road show.>When the person whom shows up to measure, estimate, or to sign the contract and collect the 1/2 down works for the company and that they have been there for a while. Many theifs work for reputable companies or get their information from an insider within the company. Everybody loses except the theif.>MAKE SURE YOU HAVE A SIGNED CONTRACT with everything that they are going to do and everything you are willing to do ... including how payments are made. Most contractors ask for 1/2 down BEFORE any work, this is where a theif makes most of their money ... having a contract with a company that fits with the above pointers protects you.>Don't accept proposals like ""REMODEL BATHROOM = $8,000.00. 1/2 Down, remainder upon draw system""GET DETAILS --- IN WRITTING! Don't accept verbal ""Ya, I'll do that"" You will get a bill for $20,000 at the end of the job that was supposed to be $8,000 and once you read the small print, you will find you will owe every penny - and they will get it.>Where do you look? Service Magic does not recommend companies that they don't have insurance and licences from. This is a good place to start, and it is free to the consumer. http://servicemagic.com/>Yahoo does have a similar ""find a company"" type of service, although there are no ""checks"" that Yahoo does to make sure these are ""real"" companies.>HAVE FUN! I have been servicing the building industry since 1980, and although remodeling and building a home for yourself is one of the most stressful parts of life, the people that allow the FUN to be in the project usually enjoy the finished product for many many years ... Many of my customers that don't have FUN doing the remodel end up with personal problems that you don't want, such as divorce, illness, heart attacks, miscarrages, and loss of jobs because of time spent on the project. I have seen all of the above problems with my customers. It's much better for the customer to have FUN!"
